Параметр и размерность	Cигнал	Значение						
Дата	-	05.12.2017	06.12.2017	06.12.2017	06.12.2017	06.12.2017	06.12.2017	06.12.2017
Время	-	14:39:47	17:57:26	18:14:33	18:31:04	18:48:45	19:03:48	19:22:43
Ne, МВт	GQ010	0,01	1,01	4,01	8,02	12,01	13,99	14,99
nКВД, об/мин	EN2	6035	7266	7856	8378	8754	8932	9021
nКНД, об/мин	EN1	3024	4594	5481	6038	6614	6879	7019
t04, °C	T04	293,6	360,6	447	535,1	601,8	633	650,1
Δt04max, °C	dT04plus	9,1	6,6	11,1	15,3	21	26,8	29,9
Δt04min, °C	dT04minus	17,2	12,8	11,4	19,5	21,7	23,6	27,8
tНВ, °C	T01	14,3	12,5	13,4	14,9	16,4	17,9	18,8
ΒН, мм рт.ст.	-	760	764	764	764	764	764	764
t02БАЛ, °C	-	0	261	317	369	410	429	439
p2, кПа	EP010	251	587	878	1190	1466	1592	1651
tДТ, °C	FT020	15,8	9	8,4	9,2	9,5	9,9	10,2
GКДТ1, кг/ч	G2	493,1	989,1	1646	2561	3424	3905	4148
GДТ, кг/ч	FQ110	589,9	1112	1822	2722	3591	4029	4238
pДТ1, кПа	FP190	338	878	1664	2950	4528	5430	5927
КДТ, %	FA020	16,2	25,1	36	49,9	63,1	70	73,5
КДТ.Р, %	FA026	16,1	24,9	35,8	49,7	63	70	73,5
tГТ, °C	FT010	15,4	14,8	16,2	16,5	18,1	19,9	21,4
GКГТ3, кг/ч	G1	164,9	164,9	164,9	164,9	164,9	164,9	164,9
GГТ, кг/ч	FQ010	1,373	1,373	1,373	1,373	1,373	1,155	1,373
PКГТ3_40, кПа	FP040	0	0	0	0	1	1	2
КГТ, %	FA010	0,15	0,14	0,14	0,14	0,15	0,15	0,15
КГТ.Р, %	FA016	0	0	0	0	0	0	0
nКМ, об/мин	RN110	16842	14770	13872	13520	13469	13461	13455
tКМ.ПОДШ.1, °C	RT210	58,7	54,7	50,2	50,3	51,1	51,3	51,6
tКМ.ПОДШ.2, °C	RT220	67,9	65,8	60,8	59,3	60,1	60,1	60,3
VКМ.Г, мм/с	RB220	1,5	1,66	1,4	1,27	1,13	1,5	1,53
VКМ.О, мм/с	RB230	2,17	1,69	1,58	1,5	1,45	1,46	1,61
PКМ.М.ВХ, кПа	LP401	286	304	304	291	298	302	291
PКМ.М.ВЫХ, кПа	LP410	137	134	133	133	152	149	152
tКМ.М.ВЫХ, °C	LT400	42,9	41,4	40,2	40,2	41,3	41,7	42,4
nЭ.КМ, об/мин	RF110	16884	14820	13902	13560	13512	13512	13512
nЭ.КМ, об/мин	RF116	16770	14808	13896	13542	13500	13500	13500
tЭ.КМ.ОБ, °C	RT100	78,6	86,6	92,5	99,2	110,2	118,5	124,6
VЭ.КМ, мм/с	RB210	2,18	1,78	1,7	1,8	2,33	3,76	3,51
KSAM, %	PA010	40,05	40,18	40,25	40,3	40,37	40,41	40,39
KSAM.У, %	PA016	40	40	40	40	40	40	40
tВ.КС.ВЫХ, °C	PT010	145,9	242,8	304,2	359,2	400	419,5	430,6
tВ.ВО.ВХ, °C	PT020	84,1	139,1	172,2	203,8	228,7	240,5	247,1
tКМ.ВХ.1, °C	PT030	18,6	15,8	20,6	27,8	35,9	40,8	43,7
tКМ.ВХ.2, °C	PT031	12,4	9,1	6,5	5,7	3,7	3,3	4,3
tКМ.ВЫХ.1, °C	PT040	22,3	24,4	26,4	24,4	27	25,4	25,7
tКМ.ВЫХ.2, °C	PT041	30,3	24,3	24,9	28,2	33,1	36,2	38,3
tВ.КВ2, °C	PT050	28,4	26	26,8	29,6	34	36,9	38,7
tВ.КДТ1, °C	PT060	17,7	17,8	21,3	25,5	30,8	35,9	40
tВ.КГТ3, °C	PT070	25,5	24,4	25,5	28,4	32,8	35,9	37,8
ΔPКДТ1-P2, кПа	FP470	47	98	98	98	98	98	98
ΔPКВ2-P2, кПа	FP450	32,4	47,5	57,7	71,3	85	90,6	93,1
ΔPКГТ3-P2, кПа	FP460	0	0	0	0	0	0	0
PВ.ВО.ВХ, кПа	PP070	261	600	896	1212	1493	1621	1682
PВ.КДТ1, кПа	PP050	418	378	371	367	470	459	470
PВ.КВ2, кПа	PP040	0	0	0	0	0	0	0
PВ.КГТ3, кПа	PP060	265	605	898	1213	1493	1620	1680
GВ.ФОРС, г/с	PQ010	0	0	0	0	0	0	0
ΔPС.GВ.КМ, Па	PP081	0	942	1151	15	1160	1487	1359
GВ.КМ, г/c	PQ020	0	366	482	58,71	605	709,7	686,8
ΠКС.1, кПа	-	-	-	-	-	-	-	-
ΠКС.2, кПа	-	-	-	-	-	-	-	-
ΠКС.3, кПа	-	-	-	-	-	-	-	-
f, Гц	-	-	-	-	-	-	-	-
Э.NOx, мг/м3	-	-	249	350	458	661	826	909
Э.CO, мг/м3	-	-	191	23	7	3	2	0
φ.О2, % об.	-	-	18,7	18,03	17,28	16,65	16,35	16,19
